# ID      zz        CTIO_U   eCTIO_U   VIMOS_U   eVIMOS_U   ACS_F435W   eACS_F435W   ACS_F606W   eACS_F606W   ACS_F775W   eACS_F775W   ACS_F814W   eACS_F814W   ACS_F850LP   eACS_F850LP   WFC3_F098M   eWFC3_F098M   WFC3_F105W   eWFC3_F105W   WFC3_F125W   eWFC3_F125W   WFC3_F160W   eWFC3_F160W   ISAAC_KS   eISAAC_KS   HAWKI_KS   eHAWKI_KS   IRAC_CH1   eIRAC_CH1   IRAC_CH2   eIRAC_CH2   IRAC_CH3   eIRAC_CH3   IRAC_CH4   eIRAC_CH4   flg1   flg2  
  2862    1.087     27.095   0.383     27.01     0.149      26.109      0.17         24.646      0.023        23.63       0.024        23.389      0.024        22.84        0.013         98.992       -99.0         22.421       0.015         22.09        0.007         21.742       0.006         21.341     0.009       98.997     -99.0       20.775     0.007       21.024     0.007       21.572     0.048       22.011     0.073       0      0.03  
  2903    1.0338    25.224   0.067     25.29     0.028      25.261      0.079        24.699      0.036        23.929      0.018        23.8        0.058        23.478       0.012         98.992       -99.0         23.299       0.026         23.032       0.015         22.894       0.016         22.677     0.036       98.997     -99.0       22.029     0.021       22.295     0.036       22.74      0.19        22.515     0.158       0      0.01  
  2921    1.017     25.695   0.099     25.609    0.047      25.472      0.079        24.601      0.024        23.566      0.023        23.387      0.023        22.995       0.015         98.992       -99.0         22.762       0.02          22.393       0.011         22.128       0.011         21.679     0.016       98.997     -99.0       21.064     0.009       21.349     0.009       21.669     0.049       21.723     0.052       0      0.0   
  2976    1.099     23.633   0.015     23.598    0.01       23.496      0.027        23.231      0.013        22.77       0.018        22.637      0.013        22.346       0.015         98.992       -99.0         98.993       -99.0         22.043       0.007         21.928       0.007         21.731     0.018       21.754     0.01        21.275     0.011       21.529     0.01        22.087     0.08        21.862     0.064       0      0.0   
  3315    1.00571   24.704   0.036     24.571    0.017      24.538      0.055        24.37       0.019        23.836      0.031        23.796      0.025        23.59        0.025         98.992       -99.0         23.495       0.02          23.446       0.012         23.527       0.016         23.378     0.064       98.997     -99.0       23.131     0.052       23.508     0.06        23.882     0.345       23.837     0.339       0      0.0   
  3336    1.086     25.685   0.093     25.654    0.036      25.567      0.102        25.286      0.039        24.694      0.059        24.504      0.041        24.152       0.034         98.992       -99.0         24.018       0.047         23.778       0.018         23.643       0.019         23.515     0.073       98.997     -99.0       23.175     0.065       23.372     0.064       23.617     0.319       28.053     19.265      0      0.0   
  3371    1.017     27.283   0.457     26.651    0.108      26.497      0.181        25.539      0.056        24.35       0.043        24.107      0.034        23.585       0.024         98.992       -99.0         23.198       0.028         22.811       0.011         22.456       0.01          22.005     0.019       98.997     -99.0       21.565     0.014       21.867     0.015       22.476     0.111       22.666     0.13        0      0.03  
  3404    1.0891    23.725   0.019     23.685    0.012      23.686      0.035        23.317      0.013        22.706      0.019        22.55       0.014        22.178       0.012         98.992       -99.0         22.018       0.015         21.843       0.007         21.682       0.008         21.416     0.019       21.327     0.015       20.924     0.007       21.176     0.007       21.576     0.048       21.697     0.052       0      0.0   
  3412    1.045     25.964   0.125     25.852    0.04       98.971      -99.0        25.262      0.027        24.589      0.019        24.454      0.093        24.069       0.014         98.992       -99.0         98.993       -99.0         23.707       0.027         23.525       0.029         98.997     -99.0       98.997     -99.0       22.967     0.047       23.237     0.083       22.596     0.391       25.991     7.125       0      0.0   
  3432    1.03501   25.613   0.086     25.487    0.03       25.535      0.076        25.214      0.034        24.707      0.047        24.576      0.033        24.299       0.036         98.992       -99.0         98.993       -99.0         24.027       0.017         23.98        0.019         23.895     0.09        23.733     0.024       23.41      0.069       23.657     0.072       23.615     0.32        24.359     0.63        0      0.03  
