# ID      tau_v16   tau_v50   tau_v84   age_mw16   age_mw50   age_mw84   Mstar16   Mstar50   Mstar84   SFR16_7   SFR50_7   SFR84_7   SFR16_8   SFR50_8   SFR84_8   Av        Av_std             AGNFRAC_8_1000  
  10056   1.572     1.572     2.287     9.075      9.225      9.225      9.647     9.717     9.727     0.202     0.292     0.302     0.212     0.297     0.322     1.1525    0.0232041348686    4.855E-4        
  10075   4.572     4.572     4.572     8.725      8.725      8.725      9.047     9.057     9.062     0.087     0.097     0.102     0.092     0.102     0.107     0.2875    0.00629983333113   0.01486         
  10099   0.872     1.832     3.037     8.825      8.925      9.275      9.807     9.842     9.977     0.432     0.602     0.837     0.422     0.612     0.837     0.2675    0.00950328364304   0.02971         
  10246   0.447     0.547     0.547     8.725      8.725      8.725      9.042     9.092     9.092     0.042     0.112     0.117     0.057     0.122     0.127     0.28      0.0067062862301    0.1018          
  10413   1.527     1.742     4.012     9.075      9.075      9.325      11.16     11.19     11.28     1.692     1.767     1.842     1.707     1.782     1.847     1.215     0.0261710890106    0.005033        
  10465   1.147     1.147     1.147     8.725      8.725      8.725      9.287     9.292     9.297     0.327     0.332     0.337     0.337     0.342     0.347     0.1575    0.00573252780194   0.00365         
  10496   1.117     2.057     2.477     9.325      9.425      9.475      10.49     10.52     10.56     0.457     0.572     0.682     0.472     0.577     0.697     0.8575    0.0188503653811    0.008517        
  10679   0.432     0.432     0.432     8.775      8.775      8.775      9.677     9.707     9.717     0.772     0.787     0.797     0.777     0.792     0.802     0.3225    0.00733317121033   0.03188         
  11058   1.337     1.712     3.037     8.625      8.725      8.775      9.637     9.657     9.702     0.667     0.702     0.832     0.677     0.717     0.837     0.6225    0.0161124571373    0.008353        
  11156   0.737     0.737     0.737     8.425      8.425      8.425      9.052     9.062     9.067     0.427     0.442     0.442     0.432     0.447     0.447     0.18      0.00661675713624   0.04605         
  11425   0.422     0.422     0.487     8.625      8.675      8.675      8.952     8.967     8.977     0.052     0.067     0.182     0.067     0.082     0.182     0.1525    0.00473886853584   0.01362         
  11618   0.362     0.957     1.672     8.675      8.925      9.075      10.22     10.31     10.34     0.707     1.142     1.327     0.722     1.152     1.337     0.3825    0.0101688052396    0.02425         
  11981   2.607     2.607     2.607     9.275      9.275      9.275      10.58     10.58     10.59     -0.038    -0.033    -0.023    -0.028    -0.023    -0.013    0.8875    0.0170077658733    0.0             
  12216   0.747     1.332     2.297     8.925      8.975      9.125      9.547     9.597     9.642     0.227     0.382     0.442     0.232     0.387     0.442     0.3575    0.010358503753     0.03048         
  12304   0.337     0.337     3.832     8.475      8.725      8.725      9.457     9.517     9.542     0.547     0.577     0.807     0.557     0.592     0.807     0.1125    0.00402523291252   0.04279         
  12354   0.492     0.707     2.357     8.475      8.475      8.525      8.927     8.952     8.967     0.202     0.282     0.292     0.207     0.287     0.297     0.3       0.00824909692027   0.0363          
  12588   0.572     1.112     2.002     8.525      8.825      9.075      9.132     9.217     9.352     0.137     0.167     0.472     0.147     0.172     0.477     0.1725    0.0066318832167    0.0143          
  12829   0.682     0.682     0.682     9.225      9.225      9.225      9.537     9.552     9.557     0.127     0.137     0.142     0.127     0.137     0.142     0.365     0.00843774851486   0.001593        
  12997   0.502     0.702     1.132     8.575      8.625      8.625      9.472     9.492     9.512     0.657     0.712     0.737     0.667     0.712     0.737     0.3125    0.00828160612442   0.01314         
  13086   1.172     1.942     1.942     8.325      8.325      8.325      8.987     8.997     9.002     0.472     0.477     0.487     0.482     0.487     0.497     0.31      0.00853043228682   0.002718        
  13097   1.532     2.297     3.207     8.675      8.825      9.025      10.34     10.38     10.43     1.197     1.392     1.422     1.212     1.392     1.422     1.225     0.0252551672931    0.009772        
  13249   4.097     4.097     4.097     8.975      8.975      8.975      9.847     9.857     9.862     -0.378    -0.368    -0.363    -0.373    -0.363    -0.358    1.145     0.0213493302003    0.03407         
  13312   0.767     1.782     1.782     8.625      8.925      9.225      9.312     9.372     9.477     -0.948    -0.263    0.012     -0.943    -0.258    0.027     0.6675    0.0124585272003    0.02359         
  13400   1.587     2.272     2.272     8.275      9.225      9.225      9.487     9.537     9.562     0.997     1.442     1.467     1.007     1.442     1.467     1.11      0.0240986804618    0.001323        
