# objname,logmass,logmass_errup,logmass_errdown,logsfr100,logsfr100_errup,logsfr100_errdown,logsfr10,logsfr10_errup,logsfr10_errdown,mwa,mwa_errup,mwa_errdown,av,av_errup,av_errdown
8971,9.48,0.11,0.13,0.52,0.35,0.27,0.51,0.32,0.27,0.76,0.23,0.35,0.21,0.39,0.14
9297,9.43,0.13,0.13,0.39,0.28,0.09,0.48,0.13,0.06,1.12,0.26,0.32,0.03,0.07,0.03
9551,9.24,0.11,0.21,0.42,0.19,0.12,0.42,0.18,0.09,0.83,0.21,0.43,0.06,0.14,0.05
9981,9.08,0.16,0.22,0.33,0.18,0.15,0.34,0.17,0.14,0.65,0.34,0.28,0.12,0.15,0.08
10564,9.06,0.20,0.26,0.41,0.19,0.14,0.45,0.14,0.12,0.59,0.35,0.33,0.06,0.13,0.04
10578,11.38,0.07,0.07,2.08,0.19,0.33,2.07,0.18,0.37,0.56,0.35,0.21,1.22,0.12,0.22
10667,9.83,0.08,0.10,0.90,0.22,0.22,0.89,0.21,0.17,0.78,0.22,0.24,0.21,0.20,0.15
10995,9.19,0.17,0.28,0.53,0.16,0.16,0.55,0.16,0.17,0.64,0.24,0.32,0.19,0.18,0.10
11375,9.47,0.09,0.11,0.36,0.29,0.31,0.31,0.25,0.25,1.00,0.19,0.33,0.17,0.25,0.12
11439,9.54,0.13,0.29,0.64,0.18,0.17,0.67,0.22,0.14,0.89,0.17,0.40,0.18,0.16,0.11
11792,8.42,0.46,0.14,0.29,0.06,0.06,0.55,0.08,0.08,0.25,0.50,0.22,0.13,0.06,0.05
11976,9.60,0.11,0.14,0.40,0.25,0.28,0.37,0.26,0.29,0.88,0.22,0.28,0.16,0.24,0.09
12053,9.33,0.12,0.16,0.43,0.18,0.24,0.46,0.19,0.18,0.84,0.29,0.34,0.21,0.22,0.13
12230,9.18,0.15,0.13,0.60,0.16,0.18,0.59,0.10,0.11,0.52,0.37,0.24,0.04,0.07,0.03
12688,8.97,0.22,0.30,0.30,0.20,0.16,0.33,0.15,0.12,0.68,0.27,0.41,0.09,0.12,0.06
12924,10.03,0.09,0.19,1.10,0.13,0.13,1.13,0.12,0.12,0.91,0.14,0.32,0.40,0.16,0.23
13137,10.08,0.10,0.12,1.18,0.33,0.26,1.18,0.24,0.27,0.89,0.24,0.25,0.78,0.37,0.26
13236,9.58,0.08,0.10,0.63,0.36,0.25,0.61,0.27,0.24,0.77,0.23,0.27,0.16,0.25,0.11
13423,9.17,0.16,0.16,0.60,0.06,0.07,0.72,0.07,0.05,0.67,0.22,0.25,0.05,0.06,0.03
