# ID_0    tau_v16_0   tau_v50_0   tau_v84_0   sSFR16_0   sSFR50_0   sSFR84_0   Mstar16_0   Mstar50_0   Mstar84_0   Ldust16_0   Ldust50_0   Ldust84_0   Mdust16_0   Mdust50_0   Mdust84_0   SFR16_0   SFR50_0   SFR84_0   age_M16_0   age_M50_0   age_M84_0   A_V16_0   A_V50_0   A_V84_0   Tdust16_0   Tdust50_0   Tdust84_0   tau_v16_agn   tau_v50_agn   tau_v84_agn   sSFR16_agn   sSFR50_agn   sSFR84_agn   Mstar16_agn   Mstar50_agn   Mstar84_agn   Ldust16_agn   Ldust50_agn   Ldust84_agn   Mdust16_agn   Mdust50_agn   Mdust84_agn   SFR16_agn   SFR50_agn   SFR84_agn   age_M16_agn   age_M50_agn   age_M84_agn   A_V16_agn   A_V50_agn   A_V84_agn   Tdust16_agn   Tdust50_agn   Tdust84_agn   agnf16_agn   agnf50_agn   agnf84_agn   Ldustsf16_agn   Ldustsf50_agn   Ldustsf84_agn   Ldustagn16_agn   Ldustagn50_agn   Ldustagn84_agn  
  1609    1.163       1.163       1.163       -8.725     -8.725     -8.725     9.147       9.147       9.147       10.5        10.5        10.5        7.372       7.372       7.372       0.442     0.442     0.442     8.572       8.572       8.572       0.688     0.688     0.688     50.25       50.25       50.25       0.213         0.213         0.613         -10.17       -10.17       -9.125       8.857         8.857         9.157         8.832         8.837         9.882         6.002         6.002         6.002         -1.303      -1.303      0.007       8.592         8.592         9.147         0.038       0.038       0.113       31.05         37.95         47.85         0.003        0.011        0.035        8.827           8.827           9.882           8.002            8.002            8.002           
  1695    1.488       1.588       3.763       -8.025     -7.975     -7.925     8.972       9.057       9.157       11.05       11.05       11.37       6.762       7.237       7.752       0.977     0.982     1.212     7.697       7.787       7.837       1.113     1.113     1.638     35.35       44.15       56.85       0.638         0.988         1.413         -9.325       -8.775       -8.375       9.052         9.147         9.267         10.09         10.39         10.74         6.002         6.457         7.062         0.022       0.367       0.722       8.277         8.622         8.937         0.238       0.488       0.763       35.05         44.45         56.05         0.026        0.061        0.153        10.02           10.36           10.73           8.987            9.132            9.397           
  1772    5.138       5.138       9.363       -9.825     -9.825     -9.225     9.692       9.692       9.757       10.41       10.41       10.69       6.322       6.827       7.442       -0.118    -0.118    0.532     8.592       8.592       8.697       1.913     1.913     2.163     30.65       36.75       43.85       4.613         5.138         5.863         -9.975       -9.825       -9.475       9.657         9.682         9.727         10.41         10.43         10.55         6.222         6.692         7.327         -0.293      -0.128      0.267       8.592         8.622         8.787         1.788       1.913       1.988       29.95         36.25         42.45         0.01         0.036        0.078        10.39           10.41           10.53           8.482            8.997            9.317           
  1826    4.288       4.288       4.438       -7.925     -7.925     -7.925     8.787       8.787       8.897       11.04       11.04       11.13       7.077       7.077       7.167       0.877     0.877     0.977     7.567       7.567       7.617       1.388     1.388     1.513     37.15       37.15       37.15       0.513         0.663         1.288         -8.675       -8.525       -8.375       8.732         8.817         8.907         10.36         10.46         10.57         6.002         6.197         6.762         0.167       0.292       0.422       8.272         8.472         8.662         0.163       0.313       0.438       36.35         47.45         60.75         0.321        0.431        0.539        10.02           10.22           10.39           10.04            10.08            10.11           
  1842    0.913       0.913       0.913       -7.825     -7.825     -7.825     9.502       9.502       9.502       11.71       11.71       11.71       7.202       7.712       8.212       1.667     1.667     1.667     7.812       7.812       7.812       0.688     0.688     0.688     36.35       47.35       59.85       0.713         0.913         0.913         -7.975       -7.975       -7.825       9.362         9.462         9.522         11.6          11.69         11.74         7.042         7.567         8.057         1.477       1.532       1.562       7.587         7.782         7.812         0.638       0.688       0.738       36.75         47.65         60.05         0.173        0.204        0.255        11.47           11.59           11.65           10.96            11.0             11.03           
  1848    11.013      11.013      11.013      -8.725     -8.725     -8.725     10.83       10.83       10.83       12.14       12.14       12.14       7.732       8.222       8.732       2.117     2.117     2.117     9.202       9.202       9.202       2.038     2.038     2.038     35.35       44.55       55.55       1.988         3.388         6.588         -9.525       -9.275       -9.025       10.56         10.64         10.72         11.28         11.48         11.67         7.032         7.562         8.152         1.107       1.362       1.572       8.887         9.122         9.267         0.738       1.113       1.463       33.95         42.25         52.45         0.058        0.127        0.232        11.18           11.42           11.64           10.39            10.57            10.68           
  1851    1.513       5.938       5.938       -10.67     -10.32     -10.32     10.96       10.96       11.0        10.99       11.13       11.14       6.892       7.367       8.017       0.332     0.657     0.657     9.337       9.337       9.447       0.863     0.988     0.988     28.85       35.15       40.95       0.938         1.713         4.313         -10.87       -10.57       -10.32       10.84         10.95         11.0          10.55         10.87         11.08         6.522         7.072         7.737         0.037       0.387       0.547       9.222         9.402         9.502         0.263       0.588       0.913       29.45         35.55         41.35         0.016        0.073        0.222        10.43           10.8            11.07           9.102            9.717            10.05           
  1862    3.988       5.463       6.863       -8.825     -8.775     -8.625     10.04       10.06       10.09       11.29       11.36       11.43       6.982       7.472       8.002       1.252     1.312     1.377     8.587       8.682       8.752       1.488     1.613     1.688     34.55       43.25       53.95       2.188         4.088         6.688         -9.425       -9.175       -8.925       10.05         10.12         10.19         10.84         11.09         11.27         6.677         7.207         7.792         0.707       0.987       1.177       8.772         8.987         9.172         0.863       1.213       1.513       33.75         41.95         51.75         0.02         0.054        0.125        10.79           11.07           11.26           9.512            9.822            10.01           
  1872    2.063       3.763       4.313       -9.375     -9.375     -9.325     9.792       9.862       9.872       10.45       10.55       10.6        6.217       6.697       7.242       0.402     0.492     0.517     9.102       9.212       9.272       0.663     0.813     0.863     34.15       42.25       52.75       0.888         1.863         3.763         -9.925       -9.575       -9.375       9.737         9.807         9.877         9.977         10.31         10.57         6.002         6.397         7.002         -0.103      0.237       0.452       9.067         9.192         9.332         0.238       0.513       0.813       33.75         41.95         52.45         0.013        0.051        0.15         9.922           10.28           10.56           8.537            8.967            9.282           
  1886    4.338       4.488       6.813       -8.825     -8.725     -8.725     9.912       9.927       9.987       11.17       11.22       11.27       6.867       7.357       7.872       1.127     1.187     1.237     8.642       8.667       8.812       1.463     1.538     1.638     34.75       43.65       54.95       2.338         4.113         7.113         -9.475       -9.225       -9.025       9.982         10.06         10.15         10.76         10.96         11.16         6.582         7.102         7.682         0.627       0.862       1.052       8.812         9.052         9.222         0.913       1.213       1.638       33.65         41.85         51.75         0.009        0.049        0.109        10.71           10.94           11.15           9.067            9.652            9.857           
