#	ID	BPASS_log10M*_16	BPASS_log10M*_50	BPASS_log10M*_84	BPASS_SFR10_16	BPASS_SFR10_50	BPASS_SFR10_84	BPASS_SFR100_16	BPASS_SFR100_50	BPASS_SFR100_84	BPASS_A_V_16	BPASS_A_V_50	BPASS_A_V_84	PEGASE_log10M*_16	PEGASE_log10M*_50	PEGASE_log10M*_84	PEGASE_SFR10_16	PEGASE_SFR10_50	PEGASE_SFR10_84	PEGASE_SFR100_16	PEGASE_SFR100_50	PEGASE_SFR100_84	PEGASE_A_V_16	PEGASE_A_V_50	PEGASE_A_V_84
12829	9.37089	9.44676	9.55182	0.73312	0.8087	0.89211	0.71034	0.77669	0.84523	0.86651	0.94659	1.08685	9.40985	9.46616	9.52456	0.59819	1.05157	1.27509	0.58767	1.00223	1.17739	1.0909	1.64819	1.918
21038	10.94116	11.49949	11.52994	-2.76528	-2.24564	-1.49489	-2.59172	-2.05397	-1.33317	0.85589	2.67993	2.76923	10.36934	10.38368	10.39596	-5.42643	-1.46041	-0.75723	-5.25008	-1.38655	-0.70173	-0.02378	0.02206	0.08754
143	9.39156	9.52509	9.69953	0.49221	0.83308	0.95241	0.48781	0.80396	0.90189	0.29649	0.75146	0.91925	9.38701	9.43158	9.53268	0.49825	1.0744	1.43777	0.49053	1.01333	1.28814	0.55419	1.37755	1.93461
13097	10.3323	10.34192	10.35004	1.92143	1.93584	1.94636	1.86493	1.8768	1.88502	1.32705	1.34203	1.35471	10.31565	10.33527	10.36821	1.0552	2.50262	2.63187	1.08835	2.32923	2.41986	0.41126	2.55942	2.79741
23882	10.13965	10.70396	10.7815	-3.52001	-2.08332	-0.20036	-3.35509	-1.92727	-0.14002	1.08028	2.51182	2.78129	9.57826	9.64337	9.70857	-1.32432	-0.54597	-0.19357	-1.16147	-0.46832	-0.13075	0.36336	0.89248	1.37601
2862	10.68354	10.88303	11.19868	-5.93332	-3.71419	-1.85833	-5.7725	-3.56787	-1.77179	0.01351	1.57127	1.88164	10.294	10.35648	10.3645	-6.59297	-4.84759	-3.2282	-6.40685	-4.69005	-3.10759	-0.25508	0.00081	0.01085
14782	9.69677	9.73369	9.76539	1.71892	1.77404	1.80783	1.55327	1.60248	1.63461	1.30843	1.39571	1.45116	9.50806	9.57307	9.59273	1.10711	1.60995	1.66572	1.158	1.45884	1.49584	0.65867	1.25174	1.32693
1603	9.28351	9.33535	9.38859	1.30062	1.3798	1.43495	1.13852	1.20725	1.261	1.11248	1.25295	1.35145	9.03141	9.12429	9.14826	0.92713	1.19024	1.22885	0.8103	1.02591	1.05623	0.53565	1.06763	1.13149
2102	9.12007	9.19484	9.25457	0.92562	1.10304	1.21736	0.83193	0.97305	1.05883	0.68272	0.99308	1.18566	9.24346	9.28196	9.32222	0.71233	0.94045	1.0873	0.6853	0.88881	1.00957	0.67028	1.04439	1.23599
18326	10.58507	10.97564	11.65272	-1.82625	0.8657	2.38355	-1.62111	0.90515	2.36272	1.24767	2.1495	2.49453	10.54813	10.57978	10.61273	1.52587	1.83597	1.94059	1.57018	1.83247	1.92122	1.31598	1.69797	1.81104
7094	8.63548	8.70853	9.28444	0.48425	0.5297	0.61122	0.40132	0.43457	0.49989	0.20417	0.26039	0.47057	8.85875	8.97886	9.06926	0.36444	0.53873	0.80722	0.33414	0.49088	0.72093	0.26269	0.51671	0.84958
15870	9.31605	9.74968	9.80986	1.01878	1.49895	1.84797	0.98872	1.33221	1.67162	0.31481	0.97815	1.65124	9.49539	9.52636	9.55556	1.29059	1.60443	1.63333	1.24389	1.43286	1.45824	0.92603	1.35067	1.40659
